mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
nov.-05,"0,92","42,32933333","29,96966667","34,084","3,08","70,83433333","26,88666667","34,47866667",,
dez.-05,"74,59","53,38387097","28,43419355","35,30193548","20,49","70,79612903","27,38483871","35,06741935",,
jan.-06,"36,49","48,36258065","29,35741935","35,54709677","8,35","69,79225806","27,59129032","35,52354839",,
fev.-06,"171,2","64,82107143","27,81857143","35,80785714","32,39","72,73","27,81321429","35,72535714",,
mar.-06,"232,94","78,95096774","25,95935484","35,48935484","138,24","75,7083871","27,79870968","35,76516129",,
abr.-06,"286,47","85,60466667","25,15433333","35,518","243,83","82,55733333","27,257","36,34033333",,
mai.-06,"225,11","86,40870968","24,3616129","34,5816129","147,04","81,99387097","26,98193548","36,0516129",,
jun.-06,"80,85","83,064","23,28666667","34,03966667","123,62","79,86066667","26,22433333","35,90833333",,
jul.-06,"15,25","72,10387097","24,19774194","33,30322581","67,47","77,51096774","25,84870968","34,49516129",,
ago.-06,"12,81","55,04774194","26,05741935","32,41322581","60,54","73,82419355","25,81419355","33,88258065",,
set.-06,"14,44","47,23","27,70633333","32,861","31,31","71,49066667","26,252","33,791",,
out.-06,"14,44","43,30451613","29,62548387","34,17645161","13,68","69,43064516","26,87612903","33,69483871",,
nov.-06,"8,28","43,86833333","29,98","34,47866667","43,85","70,44833333","27,172","33,983",,
dez.-06,"54,7","47,06677419","29,85225806","35,13580645","19,76","70,87741935","27,57064516","34,69612903",,
jan.-07,"25,56","51,91774194","29,17935484","35,07322581","98,53","74,14290323","27,51258065","35,16451613",,
fev.-07,"260,53","73,03607143","26,56035714","35,4175","138,5","76,75964286","27,63285714","35,75964286",,
mar.-07,"128,12","77,8816129","25,57548387","35,23096774","121,84","75,77516129","27,77451613","35,85516129",,
abr.-07,"169,49","75,671","26,14733333","35,30766667","198,59","78,26233333","27,67033333","35,93333333",,
mai.-07,"76,62","74,33419355","25,40451613","34,53709677","135,21","79,78290323","26,86322581","35,62935484",,
jun.-07,"39,97","67,57766667","25,195","33,94066667","258,1","81,25333333","25,944","35,439",,
jul.-07,"11,46","54,79387097","26,38516129","33,11645161","90,69","79,38903226","25,30354839","34,43419355",,
ago.-07,"1,52","47,63580645","27,0616129","32,7716129","54,28","76,18193548","25,19580645","33,89225806",,
set.-07,"1,2","43,63133333","27,98766667","32,98233333","28,94","73,544","25,494","33,74633333",,
out.-07,"0,19","40,67354839","29,4916129","33,84354839","9,31","71,67516129","26,21322581","34,03387097",,
nov.-07,"0,31","41,52266667","29,84733333","34,22233333","23,23","70,995","26,783","34,166",,
dez.-07,"25,39","46,07741935","29,48967742","35,68612903","10,98","69,6716129","27,4583871","34,74193548",,
jan.-08,"145,33","59,66096774","27,97193548","35,96064516","47,82","73,30548387","27,41903226","35,74032258",,
fev.-08,"81,1","64,31275862","27,24275862","35,02586207","23,76","71,47482759","27,91655172","35,30724138",,
mar.-08,"266,29","79,26032258","25,54774194","35,76290323","143,09","77,21322581","27,4316129","36,13096774",,
abr.-08,"228,46","85,96033333","24,724","35,24633333","302,15","82,67333333","26,74233333","35,938",,
mai.-08,"167,2","84,72806452","24,39548387","34,75870968","152,62","82,67064516","26,67451613","35,60774194",,
